Symbol,Buy/Sell,Quantity,Price
GGG,Buy,960,584
FVD,Buy,180,648
VVV,Buy,520,1389.3
PDB,Buy,30,468
PPP,Sell,930,955
FFF,Sell,80,244
EEE,Sell,410,1307.1
PDB,Buy,740,466
NEH,Buy,810,521
GGG,Buy,110,590
CCC,Sell,700,1246.4
GKH,Sell,720,1334.1
VVV,Sell,850,1412.8
WWW,Buy,430,1521.1
TTT,Buy,760,1334.1
AAA,Buy,240,1196.4
HRT,Buy,940,902
CGG,Sell,970,1398.6
MDU,Sell,20,1623.5
VVV,Buy,790,1407.3
YYY,Buy,30,62
PDB,Sell,490,467
KKK,Buy,750,1666
HRT,Buy,920,919
DDD,Buy,430,1592.1
BBB,Buy,850,462
WWW,Buy,930,1520
TQM,Buy,490,1068.5
CCC,Sell,650,1234.5
GGG,Sell,840,581
DLH,Buy,870,174
WWW,Sell,630,1539.1
GKH,Sell,590,1324.8
DLH,Sell,300,176
PDB,Sell,380,461
TTT,Sell,180,1308.3
CCC,Buy,830,1235.6
GGG,Sell,160,588
TTT,Buy,420,1329.2
HRT,Buy,970,925
YYY,Buy,240,62
HRT,Sell,520,925
VVV,Buy,630,1399.7
PPP,Buy,620,939
CCC,Buy,480,1243.4
TQM,Sell,740,1082
FVD,Buy,760,652
EEE,Buy,280,1353.9
FVD,Sell,370,652
GGG,Sell,820,582
EEE,Buy,310,1313.9
GGG,Buy,880,600
FFF,Buy,720,248
CGG,Sell,710,1427.7
MDU,Buy,360,1642.8
AAA,Buy,920,1194.4
HRT,Buy,820,906
KKK,Sell,430,1654.7
DLH,Sell,470,175
DLH,Buy,100,173
BBB,Buy,200,461
CGG,Buy,160,1400.8
AAA,Buy,630,1214.1
MMM,Buy,70,1689.8
UUU,Buy,940,674
DLH,Sell,660,171
DLH,Sell,630,177
CCC,Buy,720,1247.1
VVV,Sell,800,1410.5
CCC,Sell,240,1254.4
PDB,Buy,380,475
BBB,Sell,480,462
PDB,Sell,860,462
HSW,Buy,250,1084.2
BBB,Sell,440,470
CCC,Sell,470,1258.3
HRT,Buy,60,913
DLH,Sell,290,172
FVD,Sell,400,657
HRT,Buy,280,916
KKK,Sell,390,1667.5
CCC,Buy,350,1248
SSS,Buy,70,887
NEH,Buy,320,515
DDD,Buy,520,1574.5
FFF,Sell,750,247
TTT,Buy,810,1299.6
TTT,Sell,960,1340
GKH,Sell,420,1354.1
CCC,Buy,920,1253.2
MMM,Buy,870,1676.6
GKH,Buy,400,1337.5
TTT,Buy,10,1343.3
VVV,Buy,20,1440.6
CCC,Sell,490,1258.7
BBB,Buy,320,470
GKH,Buy,30,1315.9
CGG,Sell,590,1397.7
RRR,Buy,570,113
GKH,Buy,410,1361.9
TTT,Sell,120,1336.2
VVV,Sell,350,1412.1
MDU,Buy,380,1639.1
PDB,Sell,290,467
AAA,Buy,540,1233.9
CCC,Buy,450,1249.1
NEH,Sell,670,517
GKH,Sell,50,1337.2
KKK,Sell,40,1679.9
DDD,Buy,780,1554.1
HSW,Buy,60,1055.1
HRT,Buy,700,912
HHH,Buy,920,1923.2
CCC,Buy,110,1227.3
GGG,Buy,20,583
CCC,Sell,650,1229.7
FVD,Sell,470,658
DLH,Sell,630,174
GGG,Sell,610,589
PPP,Sell,140,947
PPP,Sell,390,928
GGG,Buy,330,583
TQM,Sell,70,1046.8
HRT,Buy,660,903
VVV,Sell,590,1406.6
BBB,Buy,580,468
GGG,Sell,690,584
GKH,Sell,340,1329.8
NNN,Sell,940,633
EEE,Buy,70,1316.6
AAA,Buy,620,1199.7
HSW,Sell,730,1051.5
HSW,Sell,630,1060
TQM,Sell,380,1066.7
DLH,Buy,60,170
GKH,Buy,610,1330.5
FFF,Buy,490,245
VVV,Buy,310,1404.5
DLH,Sell,400,169
NEH,Sell,560,517
TTT,Sell,660,1325.7
EEE,Sell,450,1334
BBB,Buy,450,469
RRR,Buy,680,115
FFF,Buy,650,245
PDB,Sell,320,463
HRT,Sell,990,912
DLH,Buy,80,176
FVD,Buy,790,661
EEE,Buy,440,1325.9
MDU,Sell,900,1663.1
GKH,Sell,310,1339.7
HRT,Buy,910,929
PPP,Buy,260,946
VVV,Buy,460,1397.5
CCC,Sell,810,1240.2
CCC,Buy,190,1247.2
EEE,Sell,770,1328.6
MMM,Sell,560,1699.7
